ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV074814033,392828,49.459212,8.483665,Mannheim,68199,68,DE,1,AIR,100,AIR,303,0,0,438553.5,0,5000,C,EUR,-999
SV074814033,202747,49.007211,8.424538,Karlsruhe,76131,76,DE,1,AIR,100,AIR,303,0,0,732632,0,5000,C,EUR,-999
SV074814033,392901,48.999921,8.414624,Karlsruhe,76137,76,DE,1,AIR,100,AIR,303,0,0,887009.5,0,5000,C,EUR,-999
SV074814033,202774,49.399944,8.682773,Heidelberg,69115,69,DE,1,AIR,100,AIR,303,0,0,747307.5,0,5000,C,EUR,-999
SV072420266,349454,48.179755,11.495195,M³nchen,80997,80,DE,1,AIR,100,AIR,303,0,0,2190488.25,0,2500,C,EUR,-999
SV072420266,349463,48.180892,11.495551,M³nchen,80997,80,DE,1,AIR,100,AIR,303,0,0,2190488.25,0,2500,C,EUR,-999
SV072420266,349527,48.215233,11.551687,M³nchen,80933,80,DE,1,AIR,100,AIR,303,0,0,2102757.5,0,2500,C,EUR,-999
SV072420266,349561,48.213611,11.556295,M³nchen,80933,80,DE,1,AIR,100,AIR,303,0,0,2589073,0,2500,C,EUR,-999
SV075597949,475755,50.157411,8.749499,Frankfurt,60388,60,DE,1,AIR,100,AIR,303,0,0,1530016,0,2500,C,EUR,-999
SV074744383,237087,52.289566,13.625669,K÷nigs Wusterhausen,15711,15,DE,1,AIR,100,AIR,303,0,0,1336348,0,5000,C,EUR,-999
SV074735817,312933,52.448949,13.6352,Berlin,12587,12,DE,1,AIR,100,AIR,303,0,0,1181159,0,2500,C,EUR,-999
SV074737544,324432,53.157829,12.178492,Pritzwalk,16928,16,DE,1,AIR,100,AIR,303,0,0,1535593,0,2500,C,EUR,-999
SV074737544,324468,53.157452,12.179894,Pritzwalk,16928,16,DE,1,AIR,100,AIR,303,0,0,1531033,0,2500,C,EUR,-999
SV074738655,228092,51.545188,14.722219,Bad Muskau,02953,02,DE,1,AIR,100,AIR,303,0,0,1196832,0,5000,C,EUR,-999
SV074738655,314290,51.54728,14.719325,Bad Muskau,02953,02,DE,1,AIR,100,AIR,303,0,0,1196832,0,5000,C,EUR,-999
SV074678363,212766,51.555852,7.394391,Dortmund,44359,44,DE,1,AIR,100,AIR,303,0,0,596136,0,5000,C,EUR,-999
SV074678363,212869,51.526905,7.381432,Dortmund,44369,44,DE,1,AIR,100,AIR,303,0,0,647543,0,5000,C,EUR,-999
SV074678363,213047,51.495782,7.517943,Dortmund,44263,44,DE,1,AIR,100,AIR,303,0,0,966242,0,5000,C,EUR,-999
SV074678363,213052,51.495339,7.517289,Dortmund,44263,44,DE,1,AIR,100,AIR,303,0,0,972626,0,5000,C,EUR,-999
SV074611293,213142,48.25706,12.525704,M³hldorf,84453,84,DE,1,AIR,100,AIR,303,0,0,844451,0,5000,C,EUR,-999
SV075064799,233820,53.746275,9.66908,Elmshorn,25337,25,DE,1,AIR,100,AIR,303,0,0,1767664,0,5000,C,EUR,-999
SV075284621,233909,54.331332,10.183562,Kiel,24149,24,DE,1,AIR,100,AIR,303,0,0,838979,0,5000,C,EUR,-999
SV075284621,233922,54.325122,10.114819,Kiel,24116,24,DE,1,AIR,100,AIR,303,0,0,1073929,0,5000,C,EUR,-999
SV075284621,233956,54.304842,10.13419,Kiel,24143,24,DE,1,AIR,100,AIR,303,0,0,1291638,0,5000,C,EUR,-999
SV074744359,314425,52.608791,12.351377,Rathenow,14712,14,DE,1,AIR,100,AIR,303,0,0,846901,0,5000,C,EUR,-999
SV074744359,314432,52.609027,12.350731,Rathenow,14712,14,DE,1,AIR,100,AIR,303,0,0,1079828,0,5000,C,EUR,-999
